user_input,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is artificial intelligence?,Artificial intelligence is the field of computer science focused on creating systems that can perform tasks that normally require human intelligence.,Artificial intelligence is the field of computer science focused on creating systems that can perform tasks that normally require human intelligence.,1.0,0.9999999999998859,0.999999999975,1.0
What is machine learning?,Machine learning is a subset of artificial intelligence that allows computers to learn patterns from data without being explicitly programmed for every task.,Machine learning is a subset of artificial intelligence that allows computers to learn patterns from data without being explicitly programmed for every task.,0.0,0.9999999999998858,0.999999999975,1.0
What is deep learning?,Deep learning is a subset of machine learning that uses neural networks with multiple layers to learn complex patterns from large amounts of data.,Deep learning is a subset of machine learning that uses neural networks with multiple layers to learn complex patterns from large amounts of data.,1.0,0.9999999999998578,0.999999999975,1.0
What is natural language processing?,"Natural language processing enables computers to understand, process, and generate human language.","Natural language processing enables computers to understand, process, and generate human language.",1.0,0.8347497891300873,0.999999999975,1.0
What is computer vision?,Computer vision enables machines to interpret and understand visual information from images and videos.,Computer vision enables machines to interpret and understand visual information from images and videos.,1.0,0.7916448180809764,0.999999999975,1.0
What is generative AI?,"Generative AI refers to artificial intelligence systems that can generate new content such as text, images, audio, video, and code.","Generative AI refers to artificial intelligence systems that can generate new content such as text, images, audio, video, and code.",1.0,0.9618995091912094,0.999999999975,1.0
What are large language models?,I don't know based on the provided context.,Large language models are neural network models trained on large collections of text to understand and generate human‑like language.,0.0,0.0,0.0,0.0
What is retrieval augmented generation?,Retrieval augmented generation combines information retrieval with language generation. It retrieves relevant information from a knowledge base and provides it to a language model as context.,Retrieval augmented generation combines information retrieval with language generation. It retrieves relevant information from a knowledge base and provides it to a language model as context.,1.0,0.9767417434590874,0.999999999975,1.0
What is ChromaDB?,ChromaDB is an open‑source vector database commonly used for storing and retrieving embeddings in AI applications.,ChromaDB is an open-source vector database commonly used for storing and retrieving embeddings in AI applications.,1.0,0.9999999999999322,0.999999999975,1.0
What is MLOps?,MLOps is the practice of combining machine learning development with software engineering and operations practices to improve reliability and reproducibility.,MLOps combines machine learning development with software engineering and operations practices to improve reliability and reproducibility.,1.0,0.9999999999998185,0.999999999975,1.0
